S.NO,Submitted Time,1. Name,2. select book,3. Number of quantity
152,03-08-2022,Rajani,Data science from scratch,1
153,03-08-2022,Jashmitha,"UX,UI design for beginners",1
154,03-08-2022,Jashmitha,"The frame work for web-development,angular",1
155,03-08-2022,Sangeetha,"HTML5,CSS3,Javascript php-blackwood",1
156,03-08-2022,Sangeetha,"HTML5,CSS3,Javascript php-blackwood",1
157,03-08-2022,Geetha,"The full stack developer,Chris Northwood",1
158,03-08-2022,Geetha,"HTML5,CSS3,Javascript php-blackwood",1
159,03-08-2022,Poojabai,Think python:how to think like a computer scientist,1
160,03-08-2022,Poojabai,"Invent your own computer games with python,4th edition",1
161,03-08-2022,Likitha,Data science from scratch,1
162,03-08-2022,Likitha,Data science with python,2
163,03-08-2022,Lalitha,Hands on Machine Learning with scikit-learn,1
164,03-08-2022,Lalitha,Machine learning for beginners,1
165,03-08-2022,B Divyasree,Machine learning for beginners,1
166,03-08-2022,B Divyasree,Hands on Machine Learning with scikit-learn,1
167,03-08-2022,B Divyasree,Data structure and algorithm through python,1
168,03-08-2022,C Divyasree,Data science from scratch,1
169,03-08-2022,C Divyasree,Data science from scratch,1
170,03-08-2022,C Divyasree,Data science for dummies,1
171,03-08-2022,D Divyasree,"HTML5,CSS3,Javascript php-blackwood",1
172,03-08-2022,D Divyasree,"The frame work for web-development,angular",1
173,03-08-2022,D Divyasree,"UX,UI design for beginners",1
174,03-08-2022,M Divyasree,App development using Java &XML,1
175,03-08-2022,M Divyasree,Backbone of webdevelopment-angular,1
176,03-08-2022,M Divyasree,App development using Java &XML,1
177,03-08-2022,N Divyasree,"The frame work for web-development,angular",1
178,03-08-2022,N Divyasree,Angular for beginners,1
179,03-08-2022,O Divyasree,Angular for beginners,1
180,03-08-2022,N Divyasree,Angular for beginners,1
181,03-08-2022,N Divyasree,"Reactjs,the main pillar of web-development",1
182,03-08-2022,P Divyasree,Angular for beginners,1
183,03-08-2022,U Divyasree,"The frame work for web-development,angular",1
184,03-08-2022,U Divyasree,Angular for beginners,1
185,03-08-2022,P Divyasree,Angular for beginners,1
186,03-08-2022,X Divyasree,Angular for beginners,1
187,03-08-2022,X Divyasree,Angular for beginners,1
188,03-08-2022,Y Divyasree,Angular for beginners,1
189,03-08-2022,X Divyasree,Angular for beginners,1
190,03-08-2022,Y Divyasree,Angular for beginners,1
191,03-08-2022,Z Divyasree,"The frame work for web-development,angular",1
192,03-08-2022,Z Divyasree,Angular for beginners,1
193,03-08-2022,Z Divyasree,"The frame work for web-development,angular",1
194,03-08-2022,Z Divyasree,Angular for beginners,1
195,03-08-2022,V Divyasree,Angular for beginners,1
196,03-08-2022,V Divyasree,Angular for beginners,1
197,03-08-2022,V Divyasree,"Reactjs,the main pillar of web-development",1
198,03-08-2022,F Divyasree,Angular for beginners,1
199,03-08-2022,F Divyasree,Reactjs for beginners ,1
200,03-08-2022,E Divyasreee,Angular for beginners,1
201,03-08-2022,T Divyasree,Angular for beginners,1
202,03-08-2022,V Divyasree,Angular for beginners,1
203,03-08-2022,G Divyasree,live web server with Reactjs and firebase,2
204,03-08-2022,Y Divyasri,"Reactjs,the main pillar of web-development",1
205,03-08-2022,Y Divyasri,live web server with Reactjs and firebase,1
206,03-08-2022,Z Divyasri,Angular for beginners,1
207,03-08-2022,I Divya,live web server with Reactjs and firebase,1
208,03-08-2022,I Divya,"The frame work for web-development,angular",1
209,03-08-2022,A Hari,Reactjs for beginners ,1
210,03-08-2022,A Hari,live web server with Reactjs and firebase,1
211,03-08-2022,A Hari,"Reactjs,the main pillar of web-development",1
212,03-08-2022,A Hari,Reactjs for beginners ,1
213,03-08-2022,B Hari,"Reactjs,the main pillar of web-development",1
214,03-08-2022,B Hari,"Reactjs,the main pillar of web-development",1
215,03-08-2022,B Hari,"Reactjs,the main pillar of web-development",1
216,03-08-2022,C Hari,Reactjs for beginners ,1
217,03-08-2022,C Hari,live web server with Reactjs and firebase,1
218,03-08-2022,Parthasarathy,live web server with Reactjs and firebase,1
219,03-08-2022,Parthasarathy,"Reactjs,the main pillar of web-development",1
220,03-08-2022,Parthasarathy,"Reactjs,the main pillar of web-development",1
221,03-08-2022,Parthasarathy,Reactjs for beginners ,1
222,03-08-2022,Yamini,Angular for beginners,1
223,03-08-2022,Yamini,Reactjs for beginners ,1
